,แขวง,ประเภทอาหาร,Restaurant Name,Link,description
74,สีลม,Healthy,ร้านเก๋ากลางกรุง,https://maps.app.goo.gl/3QrFHsYMBDVSc3vcA,
75,สีลม,Healthy,Hom Run Juan Cuisine - หอมรัญจวน,https://maps.app.goo.gl/rhLvVEN3TFjTxJmg9,
76,สีลม,Korean,Yoonique House,https://maps.app.goo.gl/8xRdqqpTeqVvhnCA9,
77,สีลม,Healthy,Hea Kaew Boran Soup (Since 1994),https://maps.app.goo.gl/LrAwtTvh1YbnJAwP6,
,,,,,
1,บางรัก,Thai,คอสามล้อ,"https://www.google.com/maps/place/Sam+Lor/@13.7302557,100.512981,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e29949a21c764f:0x5244a59b041fbee!8m2!3d13.7302505!4d100.5155559!16s%2Fg%2F11lkjymcdt?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",
2,บางรัก,Thai,ต๋องเต็มโต๊ะ,"https://www.google.com/maps/place/Tong+Tem+Toh/@13.7302557,100.512981,852m/data=!3m1!1e3!4m6!3m5!1s0x30e299162f0579b5:0x117a5a5382be963f!8m2!3d13.720869!4d100.5153295!16s%2Fg%2F11vyqj4fpw?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
3,บางรัก,Western,Oscar &Blanco,"https://www.google.com/maps/place/Osca+%26+Blanco+Bar+and+Restaurant/@13.7208742,100.5127546,852m/data=!3m1!1e3!4m6!3m5!1s0x30e299106f6edc41:0x403141082c01f2f!8m2!3d13.7267551!4d100.5142965!16s%2Fg%2F11rkpb9dcb?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
4,บางรัก,Western,Howler Bar & Grill,"https://www.google.com/maps/place/Howler+Bar+%26+Grill/@13.7270721,100.5116493,852m/data=!3m2!1e3!4b1!4m6!3m5!1s0x30e299db1f4c7d85:0xbf0b17dc0b124e34!8m2!3d13.7270669!4d100.5142242!16s%2Fg%2F11rmt361zp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
5,บางรัก,Thai,High Tide Eatery & Bar,"https://www.google.com/maps/place/High+Tide+Eatery+%26+Bar+-+BKK/@13.7270721,100.5116493,852m/data=!3m1!1e3!4m6!3m5!1s0x30e2998cba4a683d:0x5347e0a7d93ad608!8m2!3d13.7269127!4d100.5142677!16s%2Fg%2F11jmbk951m?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",ริมแม่น้ำเจ้าพระยา
